length,set_size,num_additions,avg_num_seeds
3,3,3,17
3,3,6,9
3,3,12,8
3,3,24,1
3,3,48,4
3,3,96,1
3,4,32,355
3,4,64,421
4,4,4,1053
4,4,8,14
4,4,16,14
4,4,32,1
4,4,64,8
4,4,128,2
4,4,256,1
4,4,512,1
4,5,10,2038
4,5,20,386
4,5,40,103
4,5,80,99
4,5,160,19
4,5,320,23
4,5,640,2
4,6,192,78
4,6,384,833
4,6,768,416
5,5,5,2
5,5,10,9
5,5,20,2
5,5,40,1
5,5,80,1
5,5,160,1
5,5,320,1
5,5,640,1
5,5,1280,1
5,5,2560,1
5,5,5120,1
5,6,6,2296
5,6,12,116
5,6,24,10
5,6,48,1
5,6,96,1
5,6,192,1
5,6,384,1
5,6,768,1
5,6,1536,1
5,6,3072,1
5,6,6144,1
5,7,7,89237
5,7,14,1524
5,7,28,53
5,7,56,8
5,7,112,3
5,7,224,1
5,7,448,1
5,7,896,1
5,7,1792,1
5,7,3584,2
5,7,7168,1
5,8,16,91307
5,8,32,161
5,8,64,23
5,8,128,27
5,8,256,4
5,8,512,2
5,8,1024,1
5,8,2048,3
5,8,4096,1
5,8,8192,1
5,9,36,35583
5,9,72,13949
5,9,144,412
5,9,288,77
5,9,576,6
5,9,1152,2
5,9,2304,12
5,9,4608,4
5,9,9216,54
5,10,160,83640
5,10,320,25090
5,10,640,1879
5,10,1280,732
5,10,2560,419
5,10,5120,2420
6,6,6,66
6,6,12,2
6,6,24,1
6,6,48,1
6,6,96,1
6,6,192,1
6,6,384,1
6,6,768,1
6,6,1536,1
6,6,3072,1
6,6,6144,1
6,6,12288,1
6,6,24576,1
6,6,49152,1
6,6,98304,1
6,7,7,86
6,7,14,4
6,7,28,1
6,7,56,1
6,7,112,1
6,7,224,1
6,7,448,1
6,7,896,1
6,7,1792,1
6,7,3584,1
6,7,7168,1
6,7,14336,1
6,7,28672,1
6,7,57344,1
6,8,8,7
6,8,16,8
6,8,32,1
6,8,64,1
6,8,128,1
6,8,256,1
6,8,512,1
6,8,1024,1
6,8,2048,1
6,8,4096,1
6,8,8192,1
6,8,16384,1
6,8,32768,1
6,8,65536,1
6,9,9,7305
6,9,18,16
6,9,36,2
6,9,72,1
6,9,144,1
6,9,288,1
6,9,576,1
6,9,1152,1
6,9,2304,1
6,9,4608,1
6,9,9216,1
6,9,18432,1
6,9,36864,1
6,9,73728,1
6,10,10,42196
6,10,20,135
6,10,40,3
6,10,80,1
6,10,160,1
6,10,320,1
6,10,640,1
6,10,1280,1
6,10,2560,1
6,10,5120,1
6,10,10240,1
6,10,20480,1
6,10,40960,1
6,10,81920,1
6,11,22,656
6,11,44,2
6,11,88,5
6,11,176,2
6,11,352,1
6,11,704,1
6,11,1408,1
6,11,2816,1
6,11,5632,1
6,11,11264,1
6,11,22528,1
6,11,45056,1
6,11,90112,1
6,12,24,7623
6,12,48,138
6,12,96,4
6,12,192,2
6,12,384,1
6,12,768,1
6,12,1536,1
6,12,3072,1
6,12,6144,1
6,12,12288,1
6,12,24576,1
6,12,49152,1
6,12,98304,1
6,13,26,101026
6,13,52,513
6,13,104,2
6,13,208,4
6,13,416,1
6,13,832,1
6,13,1664,1
6,13,3328,1
6,13,6656,1
6,13,13312,1
6,13,26624,1
6,13,53248,1
6,14,56,218
6,14,112,8
6,14,224,1
6,14,448,2
6,14,896,1
6,14,1792,1
6,14,3584,1
6,14,7168,1
6,14,14336,1
6,14,28672,1
6,14,57344,1
6,15,60,32486
6,15,120,215
6,15,240,24
6,15,480,2
6,15,960,2
6,15,1920,1
6,15,3840,1
6,15,7680,1
6,15,15360,1
6,15,30720,1
6,15,61440,1
6,16,128,3236
6,16,256,12
6,16,512,2
6,16,1024,2
6,16,2048,1
6,16,4096,1
6,16,8192,1
6,16,16384,1
6,16,32768,1
6,16,65536,1
